2025-08-18 10:37:39 | Darwin 24.6.0 | arm64 | arm
2025-08-18 10:38:30 | Darwin 24.6.0 | arm64 | arm
2025-08-18 14:20:21 | Darwin 24.6.0 | arm64 | arm
2025-08-18 14:24:00 | Darwin 24.6.0 | arm64 | arm
2025-08-18 14:24:36 | Darwin 24.6.0 | arm64 | arm
2025-08-18 14:25:19 | Darwin 24.6.0 | arm64 | arm
2025-08-18 14:25:48 | Darwin 24.6.0 | arm64 | arm
2025-08-18 14:26:31 | Darwin 24.6.0 | arm64 | arm
2025-08-18 14:30:45 | Darwin 24.6.0 | arm64 | arm
2025-08-18 14:43:22 | Darwin 24.6.0 | arm64 | arm
2025-08-18 14:43:53 | Darwin 24.6.0 | arm64 | arm
2025-08-18 14:50:36 | Darwin 24.6.0 | arm64 | arm
2025-08-18 14:51:43 | Darwin 24.6.0 | arm64 | arm
2025-08-18 14:54:20 | Darwin 24.6.0 | arm64 | arm
2025-08-18 14:58:35 | Darwin 24.6.0 | arm64 | arm
2025-08-18 15:00:50 | Darwin 24.6.0 | arm64 | arm
2025-08-18 15:04:32 | Darwin 24.6.0 | arm64 | arm
2025-08-18 15:13:48 | Darwin 24.6.0 | arm64 | arm
2025-08-18 15:16:41 | Darwin 24.6.0 | arm64 | arm
2025-08-18 15:20:04 | Darwin 24.6.0 | arm64 | arm
2025-08-18 15:21:00 | Darwin 24.6.0 | arm64 | arm
2025-08-18 15:21:53 | Darwin 24.6.0 | arm64 | arm
2025-08-18 15:23:13 | Darwin 24.6.0 | arm64 | arm
2025-08-18 15:26:48 | Darwin 24.6.0 | arm64 | arm
